# experiment=tree_reuse engine=helix-f3270d5 date=20260808-144106
# games=tests/data/thesis-games.txt budget_ms=500 mode=keep game_count=30
game_id,ply,side,mode,completed_depth,seldepth,nodes,qnodes,researches,tt_probes,tt_hits,tt_stores,tt_replaces,tt_hit_rate,time_ms,bestmove,played_move
2,59,b,keep,7,24,787456,502727,45,176000,15361,34283,18956,0.0873,474,f8g8,a6b5
2,60,w,keep,7,21,732160,491232,85,162592,17633,38334,21038,0.1084,475,f5h7,f5h7
2,61,b,keep,7,20,686080,443690,12,150649,17664,37968,21194,0.1173,475,g4g3,b5b4
2,62,w,keep,9,19,866570,453648,2,84620,25282,37093,19741,0.2988,362,h7e7,h7e7
2,63,b,keep,9,20,954368,528996,26,142445,19816,47584,30616,0.1391,475,f8g8,f8g8
2,64,w,keep,8,19,1234944,620074,0,98254,16739,47874,32118,0.1704,475,e7d8,e7d8
2,65,b,keep,8,20,613376,420686,4,201203,23103,48610,33128,0.1148,474,g8g7,g8h7
3,0,w,keep,8,21,776870,418051,35,193726,31254,54047,840,0.1613,457,e2e4,c2c4
3,1,b,keep,8,21,622000,335193,4,147163,19198,41760,1954,0.1305,364,b8c6,g7g6
3,2,w,keep,8,20,881633,452918,47,172359,34818,54008,3520,0.2020,474,e2e4,d2d4
3,3,b,keep,7,22,953344,501384,5,154916,29371,45912,3537,0.1896,475,f8g7,f8g7
3,4,w,keep,8,25,763904,424281,25,175209,22146,43711,5206,0.1264,476,e2e4,e2e4
3,5,b,keep,7,23,800768,454601,0,138690,6623,32451,5169,0.0478,474,b8c6,d7d6
3,6,w,keep,7,22,793056,423383,10,117858,18098,33227,4784,0.1536,415,g1f3,b1c3
3,7,b,keep,7,24,723968,429744,20,171029,18742,32469,4889,0.1096,474,g8f6,b8d7
3,8,w,keep,6,22,782336,445975,33,158740,17640,34540,5432,0.1111,476,g1f3,g1f3
3,9,b,keep,7,23,750592,446178,2,162766,13725,34103,6834,0.0843,474,c7c5,e7e5
3,10,w,keep,6,23,665600,425400,22,175408,14713,24280,4206,0.0839,475,f1e2,f1e2
3,11,b,keep,7,23,475737,314454,5,129963,7053,18514,4278,0.0543,358,g8f6,g8f6
3,12,w,keep,6,25,807936,491695,1,158155,9217,19803,3931,0.0583,474,e1g1,e1g1
3,13,b,keep,7,24,691200,459681,31,198314,17391,30685,6018,0.0877,475,e5d4,e5d4
3,14,w,keep,7,26,830464,505006,21,178864,12929,32079,7651,0.0723,474,f3d4,c3d5
3,15,b,keep,7,22,708608,448041,5,165612,12284,32480,8233,0.0742,476,f6e4,f6e4
3,16,w,keep,7,24,872448,525668,7,137979,13376,28305,6523,0.0969,474,e2d3,f3d4
3,17,b,keep,7,23,865280,498670,2,149231,17654,33919,8424,0.1183,475,c7c6,c7c6
3,18,w,keep,7,23,888832,530673,2,158208,10744,29849,9106,0.0679,474,d5c3,d5c3
3,19,b,keep,7,23,753664,460426,19,172209,13799,32455,10917,0.0801,474,e4c3,e4c3
3,20,w,keep,7,22,724992,470488,12,197211,17056,36941,12347,0.0865,474,b2c3,b2c3
3,21,b,keep,7,23,809984,505686,87,198604,14397,36218,11750,0.0725,475,e8g8,e8g8
3,22,w,keep,6,21,744448,480596,60,207112,23083,33724,9221,0.1115,474,c1a3,f1e1
3,23,b,keep,7,21,936960,538522,1,160978,16562,40039,13976,0.1029,474,c6c5,c6c5
3,24,w,keep,7,24,907264,546252,1,169433,12050,33485,12162,0.0711,476,d4b5,d4f3
3,25,b,keep,8,18,878209,500029,11,155935,22131,38245,13201,0.1419,432,g7c3,g7c3
3,26,w,keep,7,21,699392,457371,51,205992,25384,46348,16016,0.1232,474,c1g5,a1b1
3,27,b,keep,7,18,987136,543463,11,156890,17597,40003,15316,0.1122,474,c3e1,c3e1
