# experiment=time_to_quality engine=helix-f3270d5 date=20260808-032642
# suite=tests/data/stockfish-bench-all.epd nmp=on reps=3 positions=309
fen_id,fen,budget_ms,rep,nmp,bestmove,completed_depth,nodes,time_ms,stop_reason
2,8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 11,5000,1,on,b4f4,13,8251392,4749,hard_time
2,8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 11,5000,2,on,b4f4,13,8276992,4751,hard_time
3,4rrk1/pp1n3p/3q2pQ/2p1pb2/2PP4/2P3N1/P2B2PP/4RRK1 b - - 7 19,10,0,on,f5d3,3,12288,8,hard_time
3,4rrk1/pp1n3p/3q2pQ/2p1pb2/2PP4/2P3N1/P2B2PP/4RRK1 b - - 7 19,10,1,on,f5d3,4,12794,9,soft_time
3,4rrk1/pp1n3p/3q2pQ/2p1pb2/2PP4/2P3N1/P2B2PP/4RRK1 b - - 7 19,10,2,on,f5d3,4,12794,8,soft_time
3,4rrk1/pp1n3p/3q2pQ/2p1pb2/2PP4/2P3N1/P2B2PP/4RRK1 b - - 7 19,25,0,on,f5d3,4,30720,23,hard_time
3,4rrk1/pp1n3p/3q2pQ/2p1pb2/2PP4/2P3N1/P2B2PP/4RRK1 b - - 7 19,25,1,on,f5d3,4,30720,22,hard_time
3,4rrk1/pp1n3p/3q2pQ/2p1pb2/2PP4/2P3N1/P2B2PP/4RRK1 b - - 7 19,25,2,on,f5d3,4,30720,23,hard_time
3,4rrk1/pp1n3p/3q2pQ/2p1pb2/2PP4/2P3N1/P2B2PP/4RRK1 b - - 7 19,50,0,on,f5d3,5,84992,46,hard_time
3,4rrk1/pp1n3p/3q2pQ/2p1pb2/2PP4/2P3N1/P2B2PP/4RRK1 b - - 7 19,50,1,on,f5d3,5,87040,47,hard_time
3,4rrk1/pp1n3p/3q2pQ/2p1pb2/2PP4/2P3N1/P2B2PP/4RRK1 b - - 7 19,50,2,on,f5d3,5,88064,47,hard_time
3,4rrk1/pp1n3p/3q2pQ/2p1pb2/2PP4/2P3N1/P2B2PP/4RRK1 b - - 7 19,100,0,on,f5d3,6,140880,75,soft_time
3,4rrk1/pp1n3p/3q2pQ/2p1pb2/2PP4/2P3N1/P2B2PP/4RRK1 b - - 7 19,100,1,on,f5d3,6,140880,74,soft_time
3,4rrk1/pp1n3p/3q2pQ/2p1pb2/2PP4/2P3N1/P2B2PP/4RRK1 b - - 7 19,100,2,on,f5d3,6,140880,74,soft_time
3,4rrk1/pp1n3p/3q2pQ/2p1pb2/2PP4/2P3N1/P2B2PP/4RRK1 b - - 7 19,250,0,on,f5d3,6,384000,236,hard_time
3,4rrk1/pp1n3p/3q2pQ/2p1pb2/2PP4/2P3N1/P2B2PP/4RRK1 b - - 7 19,250,1,on,f5d3,6,388096,237,hard_time
3,4rrk1/pp1n3p/3q2pQ/2p1pb2/2PP4/2P3N1/P2B2PP/4RRK1 b - - 7 19,250,2,on,f5d3,6,386048,237,hard_time
3,4rrk1/pp1n3p/3q2pQ/2p1pb2/2PP4/2P3N1/P2B2PP/4RRK1 b - - 7 19,500,0,on,f5d3,7,990208,474,hard_time
