# experiment=pvs_sweep engine=helix-f3270d5 date=20260808-073948
# suite=tests/data/stockfish-bench-all.epd budget_ms=1000 reps=3 min_depth=1..6 scout_after=1..5 positions=309
fen_id,fen,min_depth,scout_after,rep,completed_depth,seldepth,nodes,qnodes,researches,tt_probes,tt_hits,tt_hit_rate,time_ms,bestmove
28,6k1/4pp1p/3p2p1/P1pPb3/R7/1r2P1PP/3B1P2/6K1 w - - 0 1,1,1,2,9,17,1821696,912123,144,388763,86878,0.2235,951,a5a6
29,8/3p3B/5p2/5P2/p7/PP5b/k7/6K1 w - - 0 1,1,1,0,14,18,1649755,685868,189,512215,248121,0.4844,861,b3a4
29,8/3p3B/5p2/5P2/p7/PP5b/k7/6K1 w - - 0 1,1,1,1,14,18,1649755,685868,189,512215,248121,0.4844,857,b3a4
29,8/3p3B/5p2/5P2/p7/PP5b/k7/6K1 w - - 0 1,1,1,2,14,18,1649755,685868,189,512215,248121,0.4844,858,b3a4
30,5rk1/q6p/2p3bR/1pPp1rP1/1P1Pp3/P3B1Q1/1K3P2/R7 w - - 93 90,1,1,0,7,17,1466368,931261,171,430494,41678,0.0968,949,g3d6
30,5rk1/q6p/2p3bR/1pPp1rP1/1P1Pp3/P3B1Q1/1K3P2/R7 w - - 93 90,1,1,1,7,17,1470464,934383,171,433277,42094,0.0972,949,g3d6
30,5rk1/q6p/2p3bR/1pPp1rP1/1P1Pp3/P3B1Q1/1K3P2/R7 w - - 93 90,1,1,2,7,17,1470464,934383,171,433277,42094,0.0972,950,g3d6
31,4rrk1/1p1nq3/p7/2p1P1pp/3P2bp/3Q1Bn1/PPPB4/1K2R1NR w - - 40 21,1,1,0,6,23,1603584,1132308,7,341852,16493,0.0482,949,d3g6
31,4rrk1/1p1nq3/p7/2p1P1pp/3P2bp/3Q1Bn1/PPPB4/1K2R1NR w - - 40 21,1,1,1,6,23,1576960,1111032,7,333527,16275,0.0488,950,d3g6
31,4rrk1/1p1nq3/p7/2p1P1pp/3P2bp/3Q1Bn1/PPPB4/1K2R1NR w - - 40 21,1,1,2,6,23,1592320,1122850,7,337706,16297,0.0483,950,d3g6
32,r3k2r/3nnpbp/q2pp1p1/p7/Pp1PPPP1/4BNN1/1P5P/R2Q1RK1 w kq - 0 16,1,1,0,6,22,1634304,984991,78,313319,31227,0.0997,950,a1c1
32,r3k2r/3nnpbp/q2pp1p1/p7/Pp1PPPP1/4BNN1/1P5P/R2Q1RK1 w kq - 0 16,1,1,1,6,22,1668096,1004560,78,318002,31788,0.1000,950,a1c1
32,r3k2r/3nnpbp/q2pp1p1/p7/Pp1PPPP1/4BNN1/1P5P/R2Q1RK1 w kq - 0 16,1,1,2,6,22,1643520,990989,78,315332,31371,0.0995,949,a1c1
33,3Qb1k1/1r2ppb1/pN1n2q1/Pp1Pp1Pr/4P2p/4BP2/4B1R1/1R5K b - - 11 40,1,1,0,7,22,1417216,958675,77,334004,27386,0.0820,949,h4h3
33,3Qb1k1/1r2ppb1/pN1n2q1/Pp1Pp1Pr/4P2p/4BP2/4B1R1/1R5K b - - 11 40,1,1,1,7,22,1436672,972905,77,338972,27507,0.0811,949,h4h3
33,3Qb1k1/1r2ppb1/pN1n2q1/Pp1Pp1Pr/4P2p/4BP2/4B1R1/1R5K b - - 11 40,1,1,2,7,22,1429504,966947,77,336432,27424,0.0815,950,h4h3
34,4k3/3q1r2/1N2r1b1/3ppN2/2nPP3/1B1R2n1/2R1Q3/3K4 w - - 5 1,1,1,0,7,20,1433600,1001827,24,353821,33026,0.0933,949,b6d7
34,4k3/3q1r2/1N2r1b1/3ppN2/2nPP3/1B1R2n1/2R1Q3/3K4 w - - 5 1,1,1,1,7,20,1426432,995044,24,350717,32890,0.0938,950,b6d7
34,4k3/3q1r2/1N2r1b1/3ppN2/2nPP3/1B1R2n1/2R1Q3/3K4 w - - 5 1,1,1,2,7,20,1438720,1006590,24,356019,33118,0.0930,949,b6d7
35,1r6/1P4bk/3qr1p1/N6p/3pp2P/6R1/3Q1PP1/1R4K1 w - - 1 42,1,1,0,6,19,1470464,998844,104,423946,21940,0.0518,949,d2g5
35,1r6/1P4bk/3qr1p1/N6p/3pp2P/6R1/3Q1PP1/1R4K1 w - - 1 42,1,1,1,6,19,1461248,993261,104,421548,21688,0.0514,950,d2g5
35,1r6/1P4bk/3qr1p1/N6p/3pp2P/6R1/3Q1PP1/1R4K1 w - - 1 42,1,1,2,6,19,1461248,993261,104,421548,21688,0.0514,951,d2g5
36,k7/2n1n3/1nbNbn2/2NbRBn1/1nbRQR2/2NBRBN1/3N1N2/7K w - - 0 1,1,1,0,0,19,959488,959486,0,574156,0,0.0000,950,h1g1
36,k7/2n1n3/1nbNbn2/2NbRBn1/1nbRQR2/2NBRBN1/3N1N2/7K w - - 0 1,1,1,1,0,19,967680,967678,0,579122,0,0.0000,949,h1g1
36,k7/2n1n3/1nbNbn2/2NbRBn1/1nbRQR2/2NBRBN1/3N1N2/7K w - - 0 1,1,1,2,0,19,964608,964606,0,577048,0,0.0000,949,h1g1
37,K7/8/8/BNQNQNB1/N5N1/R1Q1q2r/n5n1/bnqnqnbk w - - 0 1,1,1,0,5,23,1141301,863017,16,345960,7194,0.0208,717,c3e1
37,K7/8/8/BNQNQNB1/N5N1/R1Q1q2r/n5n1/bnqnqnbk w - - 0 1,1,1,1,5,23,1141301,863017,16,345960,7194,0.0208,731,c3e1
37,K7/8/8/BNQNQNB1/N5N1/R1Q1q2r/n5n1/bnqnqnbk w - - 0 1,1,1,2,5,23,1141301,863017,16,345960,7194,0.0208,726,c3e1
38,8/8/8/8/5kp1/P7/8/1K1N4 w - - 0 1,1,1,0,14,18,1845248,658368,257,631948,471460,0.7460,950,d1f2
38,8/8/8/8/5kp1/P7/8/1K1N4 w - - 0 1,1,1,1,14,18,1832960,653443,257,629450,468966,0.7450,949,d1f2
38,8/8/8/8/5kp1/P7/8/1K1N4 w - - 0 1,1,1,2,14,18,1850368,660088,257,633992,473082,0.7462,949,d1f2
39,8/8/8/5N2/8/p7/8/2NK3k w - - 0 1,1,1,0,10,12,2130944,851459,96,547393,329820,0.6025,949,d1c2
39,8/8/8/5N2/8/p7/8/2NK3k w - - 0 1,1,1,1,10,12,2157568,863685,96,549565,331457,0.6031,949,d1c2
39,8/8/8/5N2/8/p7/8/2NK3k w - - 0 1,1,1,2,10,12,2130944,851459,96,547393,329820,0.6025,950,d1c2
40,8/3k4/8/8/8/4B3/4KB2/2B5 w - - 0 1,1,1,0,9,9,2402598,1048417,33,340170,237297,0.6976,804,e3c5
40,8/3k4/8/8/8/4B3/4KB2/2B5 w - - 0 1,1,1,1,9,9,2402598,1048417,33,340170,237297,0.6976,805,e3c5
40,8/3k4/8/8/8/4B3/4KB2/2B5 w - - 0 1,1,1,2,9,9,2402598,1048417,33,340170,237297,0.6976,803,e3c5
41,8/8/1P6/5pr1/8/4R3/7k/2K5 w - - 0 1,1,1,0,10,14,1888256,823475,237,461629,183159,0.3968,949,b6b7
41,8/8/1P6/5pr1/8/4R3/7k/2K5 w - - 0 1,1,1,1,10,14,1896448,826822,237,463708,184201,0.3972,950,b6b7
41,8/8/1P6/5pr1/8/4R3/7k/2K5 w - - 0 1,1,1,2,10,14,1901568,829076,237,464838,184621,0.3972,951,b6b7
42,8/2p4P/8/kr6/6R1/8/8/1K6 w - - 0 1,1,1,0,12,15,1397651,604545,253,360516,150220,0.4167,725,b1c2
42,8/2p4P/8/kr6/6R1/8/8/1K6 w - - 0 1,1,1,1,12,15,1397651,604545,253,360516,150220,0.4167,730,b1c2
42,8/2p4P/8/kr6/6R1/8/8/1K6 w - - 0 1,1,1,2,12,15,1397651,604545,253,360516,150220,0.4167,731,b1c2
43,8/8/3P3k/8/1p6/8/1P6/1K3n2 b - - 0 1,1,1,0,15,18,1481854,542926,166,513718,349484,0.6803,804,f1d2
43,8/8/3P3k/8/1p6/8/1P6/1K3n2 b - - 0 1,1,1,1,15,18,1481854,542926,166,513718,349484,0.6803,802,f1d2
43,8/8/3P3k/8/1p6/8/1P6/1K3n2 b - - 0 1,1,1,2,15,18,1481854,542926,166,513718,349484,0.6803,809,f1d2
44,8/R7/2q5/8/6k1/8/1P5p/K6R w - - 0 124,1,1,0,11,14,1805366,814362,96,348158,171997,0.4940,809,h1h2
44,8/R7/2q5/8/6k1/8/1P5p/K6R w - - 0 124,1,1,1,11,14,1805366,814362,96,348158,171997,0.4940,815,h1h2
44,8/R7/2q5/8/6k1/8/1P5p/K6R w - - 0 124,1,1,2,11,14,1805366,814362,96,348158,171997,0.4940,814,h1h2
45,6k1/3b3r/1p1p4/p1n2p2/1PPNpP1q/P3Q1p1/1R1RB1P1/5K2 b - - 0 1,1,1,0,9,16,1470464,876765,20,435119,136158,0.3129,950,h4f4
45,6k1/3b3r/1p1p4/p1n2p2/1PPNpP1q/P3Q1p1/1R1RB1P1/5K2 b - - 0 1,1,1,1,9,16,1475584,880400,20,436603,136335,0.3123,949,h4f4
45,6k1/3b3r/1p1p4/p1n2p2/1PPNpP1q/P3Q1p1/1R1RB1P1/5K2 b - - 0 1,1,1,2,9,16,1475584,880400,20,436603,136335,0.3123,949,h4f4
