# experiment=tree_reuse engine=helix-f3270d5 date=20260808-145828
# games=tests/data/thesis-games.txt budget_ms=500 mode=clear game_count=30
game_id,ply,side,mode,completed_depth,seldepth,nodes,qnodes,researches,tt_probes,tt_hits,tt_stores,tt_replaces,tt_hit_rate,time_ms,bestmove,played_move
1,8,w,clear,7,21,862208,489592,13,143227,12475,33632,400,0.0871,474,c4d5,d1a4
1,9,b,clear,7,20,673328,405472,17,122500,13860,26097,155,0.1131,412,d5d4,d5d4
1,10,w,clear,6,19,666624,416796,18,153598,14314,31042,229,0.0932,474,c3b1,f3e5
1,11,b,clear,7,18,821248,472954,11,133180,22136,37642,395,0.1662,476,d4c3,d4c3
1,12,w,clear,7,18,831488,473682,11,131203,22150,36421,380,0.1688,475,d2c3,e5c6
1,13,b,clear,7,20,642048,381914,4,170481,23363,42602,679,0.1370,475,c3d2,c3d2
1,14,w,clear,8,20,708608,405159,17,144223,17482,35305,497,0.1212,474,c1d2,c1d2
1,15,b,clear,7,19,704512,402836,17,143199,17327,34948,491,0.1210,475,b7c6,b7c6
1,16,w,clear,7,20,637952,377536,19,178258,22287,37483,513,0.1250,475,f1g2,d2a5
1,17,b,clear,7,17,745903,413437,3,133819,18173,32951,391,0.1358,453,c8d7,c8d7
1,18,w,clear,7,20,676864,400481,8,158358,17393,35859,548,0.1098,475,f1g2,a1d1
1,19,b,clear,6,20,550912,377674,15,185884,12230,28198,339,0.0658,474,a8b8,c6c5
1,20,w,clear,7,20,705536,437455,20,166895,16743,30872,311,0.1003,474,a4c2,a4b3
1,21,b,clear,7,18,546864,331760,1,125534,11579,24610,228,0.0922,370,a8b8,a8c8
1,22,w,clear,6,19,706560,442140,17,179182,12238,31902,372,0.0683,474,f1g2,f1h3
1,23,b,clear,7,20,820224,476611,22,151177,13090,31553,310,0.0866,475,d8e7,d8e7
1,24,w,clear,7,19,803840,459987,44,169730,19642,37289,429,0.1157,475,h3d7,h3g2
1,25,b,clear,6,19,590848,386542,40,199030,13002,36416,481,0.0653,474,c7c6,c7c6
1,26,w,clear,6,17,488290,322855,27,171946,11411,30162,270,0.0664,399,e1g1,b3b7
1,27,b,clear,6,21,542720,404192,20,198357,8625,24664,197,0.0435,475,e7e6,e7e6
1,28,w,clear,5,18,530432,405214,16,196408,6505,20879,139,0.0331,474,a5c3,h2h4
1,29,b,clear,6,20,587776,410246,19,183727,10509,25464,205,0.0572,475,f6g4,f8d6
1,30,w,clear,6,20,837632,497008,2,137627,10247,29302,362,0.0745,474,g2h3,g2h3
1,31,b,clear,7,19,689152,439246,7,164919,10835,28257,301,0.0657,475,e6e7,e6e7
1,32,w,clear,6,18,765952,471189,7,159180,8941,28043,320,0.0562,475,h3d7,h3d7
1,33,b,clear,9,18,554253,331499,8,176299,25034,37300,540,0.1420,425,e7d7,e7d7
1,34,w,clear,8,18,504177,301656,8,166035,24537,35032,484,0.1478,387,b7d7,b7b3
1,35,b,clear,6,17,655360,420038,30,176055,14597,30679,252,0.0829,475,d7e7,f6e4
1,36,w,clear,6,18,489783,324560,30,138967,8646,20832,117,0.0622,374,b3e3,f2f3
1,37,b,clear,7,16,755440,405247,22,109169,14046,35377,422,0.1287,405,e4g3,e4g3
1,38,w,clear,7,17,782336,445706,49,172368,17808,46505,720,0.1033,474,b3e3,b3e3
1,39,b,clear,7,18,852992,477720,44,163316,20676,46929,702,0.1266,475,e8f8,e8f8
1,40,w,clear,7,16,782484,439240,37,153412,19148,43637,609,0.1248,442,h1h2,e3d3
1,41,b,clear,8,19,861184,471237,12,171747,32382,48670,889,0.1885,475,g3h1,g3h1
1,42,w,clear,8,19,968704,515231,7,156510,34520,48350,820,0.2206,475,d3d6,h4h5
1,43,b,clear,8,17,933888,487208,26,155971,28364,53863,1003,0.1819,475,d6g3,d6g3
1,44,w,clear,8,16,1000448,515762,28,137615,25560,51061,801,0.1857,475,e1d2,e1d2
1,45,b,clear,7,15,1018880,520840,29,140229,31747,52226,787,0.2264,475,d7d3,d7h3
1,46,w,clear,7,17,967680,505617,24,142743,24790,50792,801,0.1737,475,d2c1,d2c1
1,47,b,clear,7,16,772650,408921,11,129030,21486,43110,716,0.1665,389,g3f4,c8e8
1,48,w,clear,7,18,817152,448713,22,164814,27573,50090,692,0.1673,475,d3d7,d1d2
2,0,w,clear,8,21,776870,418051,35,193726,31254,54047,840,0.1613,457,e2e4,c2c4
2,1,b,clear,8,21,798720,435005,19,191167,24989,52598,947,0.1307,474,e7e5,g7g6
2,2,w,clear,7,18,940032,485594,61,161020,30393,51267,751,0.1888,475,b1c3,d2d4
2,3,b,clear,7,19,885760,465219,13,162630,21461,50014,986,0.1320,474,g8f6,f8g7
2,4,w,clear,7,21,830464,449140,25,166887,22224,45922,815,0.1332,478,e2e4,e2e4
2,5,b,clear,7,20,706780,393706,32,142786,16940,34877,449,0.1186,422,b8c6,d7d6
2,6,w,clear,7,22,793742,426983,7,126763,16695,35302,554,0.1317,427,g1f3,b1c3
2,7,b,clear,7,23,770048,442981,16,163322,14725,35357,465,0.0902,475,g8f6,b8d7
2,8,w,clear,6,22,756736,436602,36,163155,16369,33863,400,0.1003,475,g1f3,g1f3
2,9,b,clear,6,24,664576,418016,22,183440,17356,33611,414,0.0946,475,c7c5,c7c5
2,10,w,clear,7,19,851748,464070,12,115090,15108,31398,365,0.1313,428,d4d5,d4d5
2,11,b,clear,7,23,663966,374444,12,132015,11067,30351,353,0.0838,407,g8f6,g8f6
2,12,w,clear,7,22,606767,363624,30,137685,13016,25933,205,0.0945,401,f1e2,f1e2
2,13,b,clear,6,25,669696,427035,24,174205,11589,28403,271,0.0665,474,e8g8,b7b6
2,14,w,clear,7,26,929792,514632,9,144107,13203,33549,483,0.0916,475,e1g1,e1g1
