# experiment=tt_sweep engine=helix-f3270d5 date=20260808-012157
# suite=tests/data/stockfish-bench-all.epd budget_ms=1000 reps=3 mb=1,4,16,64,256 entry_bytes=32 positions=309
fen_id,tt_mb,rep,completed_depth,seldepth,nodes,qnodes,tt_probes,tt_hits,tt_stores,tt_replaces,tt_hit_rate,time_ms,bestmove,stop_reason
41,1,1,9,14,1920000,860230,480404,109302,193527,137371,0.2275,949,b6b7,hard_time
41,1,2,9,14,1892352,848314,472072,107638,190175,134180,0.2280,949,b6b7,hard_time
42,1,0,11,13,1997316,889509,413232,111935,175505,122169,0.2709,930,b1c2,soft_time
42,1,1,11,13,1997316,889509,413232,111935,175505,122169,0.2709,933,b1c2,soft_time
42,1,2,11,13,1997316,889509,413232,111935,175505,122169,0.2709,927,b1c2,soft_time
43,1,0,12,17,1823744,735763,582856,230308,229945,149881,0.3951,949,f1d2,hard_time
43,1,1,12,17,1845248,744218,589682,232625,232802,152490,0.3945,950,f1d2,hard_time
43,1,2,12,17,1849344,745712,591533,233192,233560,153213,0.3942,949,f1d2,hard_time
44,1,0,10,14,1997824,894341,470926,157921,166606,111915,0.3353,949,h1h2,hard_time
44,1,1,10,14,1969152,880999,466018,156423,164544,110390,0.3357,949,h1h2,hard_time
44,1,2,10,14,1974272,883374,466626,156606,164886,110648,0.3356,950,h1h2,hard_time
45,1,0,9,17,1490944,889625,435233,127037,164751,127369,0.2919,949,h4f4,hard_time
45,1,1,9,17,1509376,901265,442026,128855,167327,129939,0.2915,950,h4f4,hard_time
45,1,2,9,17,1490944,889625,435233,127037,164751,127369,0.2919,949,h4f4,hard_time
46,1,0,7,19,1371136,742460,497129,127550,166486,127253,0.2566,949,c3c4,hard_time
46,1,1,7,19,1382400,747185,503669,130515,168418,129165,0.2591,950,c3c4,hard_time
46,1,2,7,19,1377280,744985,500749,129204,167544,128297,0.2580,949,c3c4,hard_time
47,1,0,0,0,0,0,0,0,0,0,0.0000,0,0000,none
47,1,1,0,0,0,0,0,0,0,0,0.0000,0,0000,none
47,1,2,0,0,0,0,0,0,0,0,0.0000,0,0000,none
48,1,0,0,0,0,0,0,0,0,0,0.0000,0,0000,none
48,1,1,0,0,0,0,0,0,0,0,0.0000,0,0000,none
48,1,2,0,0,0,0,0,0,0,0,0.0000,0,0000,none
49,1,0,7,22,1647616,999055,378881,21154,72707,35785,0.0558,950,e7e3,hard_time
49,1,1,7,22,1629184,989913,377434,21008,72114,35303,0.0557,949,e7e3,hard_time
49,1,2,7,22,1632256,991507,377748,21021,72207,35370,0.0556,950,e7e3,hard_time
50,1,0,8,22,1827840,995319,409619,46241,109803,64879,0.1129,949,c2c4,hard_time
50,1,1,8,22,1825792,994280,409428,46234,109727,64807,0.1129,950,c2c4,hard_time
50,1,2,8,22,1819648,990798,408080,46198,109398,64502,0.1132,949,c2c4,hard_time
51,1,0,7,22,1441866,909626,352944,20837,66387,29290,0.0590,845,f8g8,soft_time
51,1,1,7,22,1441866,909626,352944,20837,66387,29290,0.0590,860,f8g8,soft_time
51,1,2,7,22,1441866,909626,352944,20837,66387,29290,0.0590,850,f8g8,soft_time
52,1,0,7,24,1282412,911349,411515,18319,53833,22540,0.0445,880,b8c6,soft_time
52,1,1,7,24,1282412,911349,411515,18319,53833,22540,0.0445,878,b8c6,soft_time
52,1,2,7,24,1282412,911349,411515,18319,53833,22540,0.0445,887,b8c6,soft_time
53,1,0,6,25,1280000,951827,455928,13425,45047,14777,0.0294,950,f8e8,hard_time
53,1,1,6,25,1283072,954721,457174,13433,45130,14829,0.0294,949,f8e8,hard_time
53,1,2,6,25,1282048,953717,456734,13433,45120,14822,0.0294,950,f8e8,hard_time
54,1,0,6,21,1470464,949992,445890,21548,78858,40702,0.0483,950,c8d7,hard_time
54,1,1,6,21,1462272,943900,442142,21429,78158,40090,0.0485,949,c8d7,hard_time
54,1,2,6,21,1466368,946994,444180,21485,78513,40402,0.0484,951,c8d7,hard_time
55,1,0,6,21,1459200,921009,461991,30692,98416,54560,0.0664,949,f8g8,hard_time
55,1,1,6,21,1461248,922683,462992,30800,98587,54635,0.0665,950,f8g8,hard_time
55,1,2,6,21,1448960,913032,456671,29961,97679,54077,0.0656,950,f8g8,hard_time
56,1,0,7,20,1755136,1055448,398301,18826,75079,38649,0.0473,949,c8d7,hard_time
56,1,1,7,20,1740800,1048090,397237,18811,74707,38335,0.0474,950,c8d7,hard_time
56,1,2,7,20,1738752,1047097,397175,18808,74647,38283,0.0474,949,c8d7,hard_time
57,1,0,7,21,1933312,1096591,349417,18690,83069,46117,0.0535,951,c8d7,hard_time
57,1,1,7,21,1937408,1099054,350998,18728,83479,46475,0.0534,951,c8d7,hard_time
57,1,2,7,21,1933312,1096591,349417,18690,83069,46117,0.0535,952,c8d7,hard_time
58,1,0,7,20,1878016,1049480,369482,31165,96827,55183,0.0843,951,b5a4,hard_time
58,1,1,7,20,1868800,1042167,367086,31135,96701,55062,0.0848,950,b5a4,hard_time
58,1,2,7,22,1884160,1054314,371170,31185,96909,55260,0.0840,950,b5a4,hard_time
59,1,0,8,23,1922048,1078368,356670,24063,89889,49667,0.0675,949,a6b5,hard_time
