# experiment=time_to_quality engine=helix-f3270d5 date=20260808-053245
# suite=tests/data/stockfish-bench-all.epd nmp=off reps=3 positions=309
# scored with stockfish depth=20
fen_id,fen,budget_ms,rep,nmp,bestmove,completed_depth,nodes,time_ms,stop_reason,sf_best,sf_eval_best,sf_eval_played,cpl,agreement
3,4rrk1/pp1n3p/3q2pQ/2p1pb2/2PP4/2P3N1/P2B2PP/4RRK1 b - - 7 19,10,2,off,f5d3,4,13866,8,soft_time,f5d3,18,18,0,1
3,4rrk1/pp1n3p/3q2pQ/2p1pb2/2PP4/2P3N1/P2B2PP/4RRK1 b - - 7 19,25,0,off,f5d3,4,33792,23,hard_time,f5d3,18,18,0,1
3,4rrk1/pp1n3p/3q2pQ/2p1pb2/2PP4/2P3N1/P2B2PP/4RRK1 b - - 7 19,25,1,off,f5d3,4,33792,23,hard_time,f5d3,18,18,0,1
3,4rrk1/pp1n3p/3q2pQ/2p1pb2/2PP4/2P3N1/P2B2PP/4RRK1 b - - 7 19,25,2,off,f5d3,4,33792,23,hard_time,f5d3,18,18,0,1
3,4rrk1/pp1n3p/3q2pQ/2p1pb2/2PP4/2P3N1/P2B2PP/4RRK1 b - - 7 19,50,0,off,f5d3,5,93184,46,hard_time,f5d3,18,18,0,1
3,4rrk1/pp1n3p/3q2pQ/2p1pb2/2PP4/2P3N1/P2B2PP/4RRK1 b - - 7 19,50,1,off,f5d3,5,93184,47,hard_time,f5d3,18,18,0,1
3,4rrk1/pp1n3p/3q2pQ/2p1pb2/2PP4/2P3N1/P2B2PP/4RRK1 b - - 7 19,50,2,off,f5d3,5,93184,46,hard_time,f5d3,18,18,0,1
3,4rrk1/pp1n3p/3q2pQ/2p1pb2/2PP4/2P3N1/P2B2PP/4RRK1 b - - 7 19,100,0,off,f5d3,5,176128,94,hard_time,f5d3,18,18,0,1
3,4rrk1/pp1n3p/3q2pQ/2p1pb2/2PP4/2P3N1/P2B2PP/4RRK1 b - - 7 19,100,1,off,f5d3,5,175104,94,hard_time,f5d3,18,18,0,1
3,4rrk1/pp1n3p/3q2pQ/2p1pb2/2PP4/2P3N1/P2B2PP/4RRK1 b - - 7 19,100,2,off,f5d3,5,175104,94,hard_time,f5d3,18,18,0,1
